filerange 11000 11563
rangestart 11000 11563

// Subtitles
11000	Scout
11001	<b>Description:</b> Reconnaissance Fighter.  Fast engines and strong sensors. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Fighters, Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> None.
11002	Interceptor
11003	<b>Description:</b> Anti-Strike Craft Fighter.  Excels at dogfights with other strike craft. \n\n<b>Strong vs:</b> Fighters.  \n<b>Weak vs:</b> Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis.
11004	Attack Bomber
11005	<b>Description:</b> Anti-Capital Ship Fighter.  Launches slow but damaging plasma bombs. \n\n<b>Strong vs:</b> Frigates, Capital Ships and Subsystems. \n<b>Weak vs:</b>  Fighters, Corvettes and Anti-Fighter Frigates. \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis, Plasma Bomb Launcher.
11006	Defender
11007	<b>Description:</b> Heavy Defense Fighter.  Designed to protect larger vessels from strike craft. \n\n<b>Strong vs:</b> Fighters.  \n<b>Weak vs:</b> Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Fighter Drive, Defender Sub-Systems.
11008	Cloaked Fighter
11009	<b>Description:</b> Covert Operations Fighter.  Personal cloaking field renders the craft invisible. \n\n<b>Strong vs:</b> Fighters.  \n<b>Weak vs:</b> Scouts and Proximity Sensors. \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis, Cloaked Fighter.
11010	Defense Fighter
11011	<b>Description:</b> Anti-Projectile Fighter.  Destroys incoming projectiles with targeted lasers. \n\n<b>Strong vs:</b> Missiles and Mines.  \n<b>Weak vs:</b> Fighters, Corvettes, Frigates and Capital Ships \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis, Defense Fighter.
11012	Light Corvette
11013	<b>Description:</b> Light Attack Corvette.  Basic early-tier heavy strike craft. \n\n<b>Strong vs:</b> Fighters. \n<b>Weak vs:</b> Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Corvette Drive.
11014	Heavy Corvette
11015	<b>Description:</b> Heavy Assault Corvette.  Heaviest weapons and armor of any strike craft. \n\n<b>Strong vs:</b> Corvettes and Frigates. \n<b>Weak vs:</b> Anti-Strike Craft Frigates and Capital Ships. \n\n<b>Prerequisites: </b> Corvette Drive, Corvette Chassis, Heavy Corvette Upgrade.
11016	Multi-Gun Corvette
11017	<b>Description:</b> Anti-Fighter Corvette.  Specializes in taking out large fighter groups. \n\n<b>Strong vs:</b> Fighters. \n<b>Weak vs:</b> Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Corvette Drive, Corvette Chassis, Fast-Tracking Turrets.
11018	Minelayer Corvette
11019	<b>Description:</b> Mine-Deploying Corvette. Deploys fields of magnetic mines. \n\n<b>Strong vs:</b> Frigates and Capital Ships. \n<b>Weak vs:</b> Fighters and Corvettes. \n\n<b>Prerequisites:</b> Corvette Drive, Corvette Chassis, Minelaying Tech.
11020	Salvage Corvette
11021	<b>Description:</b> Salvage & Capture Corvette. Disables and captures enemy vessels. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Corvette Drive, Corvette Chassis.
11022	Repair Corvette
11023	<b>Description:</b> Field Repair Corvette. Repairs ships and refits one strike craft vessel. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> None.
11024	Assault Frigate
11025	<b>Description:</b> Frontline Attack Frigate.  Assaults enemy craft with turrets and bombs. \n\n<b>Strong vs:</b> Corvettes and Frigates. \n<b>Weak vs:</b> Bombers and Capital Ships. \n\n<b>Prerequisites:</b> Capital Ship Drive, Capital Ship Chassis.
11026	Ion Cannon Frigate
11027	<b>Description:</b> Anti-Capital Ship Beam Frigate. Ravages capital ships with a powerful ion beam. \n\n<b>Strong vs:</b> Frigates and Capital Ships. \n<b>Weak vs:</b> Bombers and Capital Ships. \n\n<b>Prerequisites:</b> Capital Ship Drive, Capital Ship Chassis, Ion Cannons.
11028	Support Frigate
11029	<b>Description:</b> Heavy Repair Frigate.  Repairs ships and can refit multiple strike craft. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Bombers, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Capital Ship Drive.
11030	Drone Frigate
11031	<b>Description:</b>  Drone Deployment Frigate.  Uses multiple drones to obliterate strike craft. \n\n<b>Strong vs:</b> Fighters and Corvettes. \n<b>Weak vs:</b> Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Capital Ship Drive, Capital Ship Chassis, Drone Technology.
11032	Field Frigate
11033	<b>Description:</b>  Field Deployment Frigate.  Emits a large-scale anti-projectile force field. \n\n<b>Strong vs:</b> Turrets, Mines, and Missiles. \n<b>Weak vs:</b> Bombers and Ion Cannon Weapons. \n\n<b>Prerequisites:</b> Capital Ship Drive, Capital Ship Chassis, Defense Field.
11034	Destroyer
11035	<b>Description:</b>  Frontline Attack Capital Ship. Attacks with large front-side ion cannons and turrets. \n\n<b>Strong vs:</b> Frigates and Capital Ships. \n<b>Weak vs:</b> Bombers and Cruisers. \n\n<b>Prerequisites:</b> Super-Capital Ship Drive, Ion Cannons, Super-Heavy Chassis.
11036	Missile Destroyer
11037	<b>Description:</b>  Long-Range Capital Ship.  Attacks with volleys of long-range guided missiles. \n\n<b>Strong vs:</b> Fighters, Corvettes. \n<b>Weak vs:</b> Bombers and Capital Ships. \n\n<b>Prerequisites:</b> Super-Capital Ship Drive, Guided Missiles.
11038	Heavy Cruiser
11039	<b>Description:</b>  Heavy Assault Capital Ship. \n\n<b>Strong vs:</b> Frigates and Capital Ships. \n<b>Weak vs:</b> Bombers. \n\n<b>Prerequisites:</b> Super-Capital Ship Drive, Super-Heavy Chassis, Heavy Guns.
11040	Carrier
11041	<b>Description:</b>  Fleet Support Capital Ship.  Constructs new vessels to bolster the front line. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Bombers, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Super-Capital Ship Drive.
11042	Research Ship
11043	<b>Description:</b> Research & Development Hub.  Houses labs to research new technologies. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Bombers, Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> None.
11044	Resource Collector
11045	<b>Description:</b>  Resource Mining Vessel.  Mines space debris for material resources. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Bombers, Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> None.
11046	Resource Controller
11047	<b>Description:</b>  Mobile Resource Depository.  Converts harvested materials into RUs. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Bombers, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> None.
11048	Gravwell Generator
